,Question ID,Participant ID,Description,Answer,Correct Answer,Question Type,Prompt Condition,Answer Index,Correct Answer Index,Correctness,Order Difference
3,Q176,60e89af0e29741df45bbef1f,"This is an attention check. Please go ahead and select the option that begins with ""N"".",Neither,Neither,1,1,3,3,1,0
4,Q176,5ea171c1a8782801263e7540,"This is an attention check. Please go ahead and select the option that begins with ""N"".",Neither,Neither,1,1,3,3,1,0
10,Q177,5ea171c1a8782801263e7540,"Data usage scenario: Our app accesses GPS location and sends it to a third party server.



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Both,Both,1,1,2,2,1,0
15,Q254,60e89af0e29741df45bbef1f,"Data usage scenario: Our app accesses GPS location and sends it to our server.




Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Collected,Collected,1,1,0,0,1,0
27,Q257,60e89af0e29741df45bbef1f,"Data usage scenario: Our app accesses GPS location and sends it to another app directly on the device. The data never leaves the device.
(This is feasible because an app can use an Intent to perform some basic interactions with other apps, including sending data)
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Collected,Shared,1,1,0,1,0,-1
33,Q258,60e89af0e29741df45bbef1f,"Data usage scenario: Our app accesses GPS location and sends it to our server via libraries and/or SDKs included in our app.
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Collected,Collected,1,1,0,0,1,0
40,Q259,5ea171c1a8782801263e7540,"Data usage scenario: Our app accesses GPS location and sends it directly to a third party server via libraries and/or SDKs included in our app.
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Collected,Both,1,1,0,2,0,-1
46,Q260,5ea171c1a8782801263e7540,"Data usage scenario: Our app encrypts the user’s message before it is sent to another user, where it is decrypted.
  
Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Neither,Neither,1,1,3,3,1,0
51,Q261,60e89af0e29741df45bbef1f,"Data usage scenario: Our app directly opens our own website in a webview, our website then accesses the user's GPS location through the webview, and sends it to our server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Collected,Collected,1,1,0,0,1,0
52,Q261,5ea171c1a8782801263e7540,"Data usage scenario: Our app directly opens our own website in a webview, our website then accesses the user's GPS location through the webview, and sends it to our server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Both,Collected,1,1,2,0,0,1
57,Q262,60e89af0e29741df45bbef1f,"Data usage scenario: Our app allows users to navigate the open web via a webview. When the user opens google.com, it accesses the user's GPS location and sends the GPS location to Google's server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Collected,Neither,1,1,0,3,0,-1
58,Q262,5ea171c1a8782801263e7540,"Data usage scenario: Our app allows users to navigate the open web via a webview. When the user opens google.com, it accesses the user's GPS location and sends the GPS location to Google's server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Both,Neither,1,1,2,3,0,-1
63,Q265,60e89af0e29741df45bbef1f,"Data usage scenario: Our app directly opens our own website in a webview, our website accesses the GPS location through the webview, and sends it to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Both,Both,1,1,2,2,1,0
64,Q265,5ea171c1a8782801263e7540,"Data usage scenario: Our app directly opens our own website in a webview, our website accesses the GPS location through the webview, and sends it to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Both,Both,1,1,2,2,1,0
70,Q266,5ea171c1a8782801263e7540,"Data usage scenario: Our app allows users to navigate the open web via a webview. When the user opens google.com, it accesses the user's GPS location and sends the GPS location to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Both,Neither,1,1,2,3,0,-1
75,Q267,60e89af0e29741df45bbef1f,"Data usage scenario: Our app's user explicitly initiates an action that sends their full name to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Both,Collected,1,1,2,0,0,1
93,Q270,60e89af0e29741df45bbef1f,"Data usage scenario: Our app sends the user's medical records that have been fully anonymized to a third party server.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Both,Collected,1,1,2,0,0,1
106,Q272,5ea171c1a8782801263e7540,"Data usage scenario: Our app sends the user's GPS location to our server to search for nearby places but does not store the GPS location after serving the request.

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Neither,Collected,1,1,3,0,0,1
111,Q273,60e89af0e29741df45bbef1f,"Data usage scenario: Our app requests for the user's full name and only sends the pseudonymized name to our server. (A pseudonymized name does not allow the individual to be directly identified, but it can be re-associated with the user if additional information is provided)

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Collected,Collected,1,1,0,0,1,0
112,Q273,5ea171c1a8782801263e7540,"Data usage scenario: Our app requests for the user's full name and only sends the pseudonymized name to our server. (A pseudonymized name does not allow the individual to be directly identified, but it can be re-associated with the user if additional information is provided)

  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Collected,Collected,1,1,0,0,1,0
117,Q274,60e89af0e29741df45bbef1f,"Data usage scenario: Our app accesses the user’s GPS location and sends it to government agencies in response to a legal request.


  

Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Both,Collected,1,1,2,0,0,1
