,Question ID,Participant ID,Description,Answer,Correct Answer,Question Type,Prompt Condition,Answer Index,Correct Answer Index
0,Q176,6081f2ada1056056b09872c1,"This is an attention check. Please go ahead and select the option that begins with ""N"".",,Neither,1,2,,
1,Q176,61003e522bc23b7b3f65a8c0,"This is an attention check. Please go ahead and select the option that begins with ""N"".",,Neither,1,2,,
2,Q176,5f38c9aa0c68ee3f7c72f7b4,"This is an attention check. Please go ahead and select the option that begins with ""N"".",,Neither,1,3,,
3,Q176,60e89af0e29741df45bbef1f,"This is an attention check. Please go ahead and select the option that begins with ""N"".",Neither,Neither,1,1,3,3
4,Q176,5ea171c1a8782801263e7540,"This is an attention check. Please go ahead and select the option that begins with ""N"".",Neither,Neither,1,1,3,3
5,Q176,5ef48ebd234db60612e99516,"This is an attention check. Please go ahead and select the option that begins with ""N"".",,Neither,1,3,,
6,Q177,6081f2ada1056056b09872c1,"Data usage scenario: Our app accesses GPS location and sends it to a third party server.



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Both,1,2,,
7,Q177,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app accesses GPS location and sends it to a third party server.



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Both,1,2,,
8,Q177,5f38c9aa0c68ee3f7c72f7b4,"Data usage scenario: Our app accesses GPS location and sends it to a third party server.



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Both,1,3,,
9,Q177,60e89af0e29741df45bbef1f,"Data usage scenario: Our app accesses GPS location and sends it to a third party server.



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Both,1,1,,
10,Q177,5ea171c1a8782801263e7540,"Data usage scenario: Our app accesses GPS location and sends it to a third party server.



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Both,Both,1,1,2,2
11,Q177,5ef48ebd234db60612e99516,"Data usage scenario: Our app accesses GPS location and sends it to a third party server.



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Both,1,3,,
12,Q254,6081f2ada1056056b09872c1,"Data usage scenario: Our app accesses GPS location and sends it to our server.




Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,2,,
13,Q254,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app accesses GPS location and sends it to our server.




Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,2,,
14,Q254,5f38c9aa0c68ee3f7c72f7b4,"Data usage scenario: Our app accesses GPS location and sends it to our server.




Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,3,,
15,Q254,60e89af0e29741df45bbef1f,"Data usage scenario: Our app accesses GPS location and sends it to our server.




Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",Collected,Collected,1,1,0,0
16,Q254,5ea171c1a8782801263e7540,"Data usage scenario: Our app accesses GPS location and sends it to our server.




Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,1,,
17,Q254,5ef48ebd234db60612e99516,"Data usage scenario: Our app accesses GPS location and sends it to our server.




Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Collected,1,3,,
18,Q256,6081f2ada1056056b09872c1,"Data usage scenario: We send the user's GPS location stored on our server to a third party server.



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Both,1,2,,
19,Q256,61003e522bc23b7b3f65a8c0,"Data usage scenario: We send the user's GPS location stored on our server to a third party server.



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Both,1,2,,
20,Q256,5f38c9aa0c68ee3f7c72f7b4,"Data usage scenario: We send the user's GPS location stored on our server to a third party server.



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Both,1,3,,
21,Q256,60e89af0e29741df45bbef1f,"Data usage scenario: We send the user's GPS location stored on our server to a third party server.



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Both,1,1,,
22,Q256,5ea171c1a8782801263e7540,"Data usage scenario: We send the user's GPS location stored on our server to a third party server.



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Both,1,1,,
23,Q256,5ef48ebd234db60612e99516,"Data usage scenario: We send the user's GPS location stored on our server to a third party server.



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.",,Both,1,3,,
